study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Kiebel2008,gemma-4-31b-it,2008.0,empirical,80,0.745,0.129,0.583,0.079,0.596,0.151,,,,,,0.6,,,,0.4,,0.8,0.589,,,,,,,,,,0.578,,0.4,0.611,0.589,,,0.8,0.433,0.367,,0.689,,,80,0.745,0.129,0.583,0.079,0.596,0.151,,,,,,0.6,,,,0.4,,0.8,0.589,,,,,,,,,,0.578,,0.4,0.611,0.589,,,0.8,0.433,0.367,,0.689,,
LaoRodriguez2023,gemma-4-31b-it,2023.0,empirical,125,0.717,0.184,0.331,0.086,0.533,0.174,,,,0.6,0.722,0.544,,,,,,1.0,0.4,,,,,,,,,0.311,0.2,0.4,,0.337,0.622,,,0.444,,0.8,,0.411,0.3,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeeMejias2025,gemma-4-31b-it,2025.0,empirical,175,0.625,0.19,0.724,0.112,0.538,0.096,,,,0.8,,0.744,,0.4,0.811,0.267,0.544,0.689,0.8,,,0.556,0.52,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.667,,0.4,0.4,,,,0.6,0.489,,166,0.594,0.19,0.724,0.112,0.538,0.096,,,,,,0.744,,0.4,0.811,0.267,0.544,0.689,0.8,,,0.556,0.52,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.667,,0.4,0.4,,,,0.6,0.489,
Mikulasch2023,gemma-4-31b-it,2023.0,empirical,199,0.477,0.192,0.585,0.127,0.484,0.102,,,0.4,,0.2,0.556,,,0.378,0.378,0.8,0.6,0.556,,,0.6,0.4,0.733,0.544,,0.489,,0.689,,0.556,0.389,0.533,,0.478,0.467,0.6,0.4,,0.533,0.388,,190,0.525,0.165,0.585,0.127,0.484,0.102,,,0.4,,,0.556,,,0.378,0.378,0.8,0.6,0.556,,,0.6,0.4,0.733,0.544,,0.489,,0.689,,0.556,0.389,0.533,,0.478,0.467,0.6,0.4,,0.533,0.388,
Nejad2025,gemma-4-31b-it,2025.0,empirical,102,,,0.505,0.484,0.451,0.112,,,,,,,,,,,,,0.8,,,,-0.725,0.7,0.675,0.6,0.625,0.483,0.8,0.662,0.587,,0.45,,,0.35,0.3,0.35,,0.512,,,102,,,0.505,0.484,0.451,0.112,,,,,,,,,,,,,0.8,,,,-0.725,0.7,0.675,0.6,0.625,0.483,0.8,0.662,0.587,,0.45,,,0.35,0.3,0.35,,0.512,,
Payeur2021,gemma-4-31b-it,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,0.668,0.136,0.559,0.102,,,,,,,,,,,,,0.644,,0.55,,0.5,,,,0.6,,0.822,,0.656,0.556,0.529,,0.414,,,,,0.6,,
Rao&Ballard1999,gemma-4-31b-it,1999.0,empirical,120,0.8,0.0,0.762,0.113,0.552,0.117,,,,,,0.8,,,,,,,0.856,,,,0.678,0.8,,0.6,0.633,,0.878,,0.489,0.544,0.667,,,0.411,0.522,0.556,,0.7,,0.3,120,0.8,0.0,0.762,0.113,0.552,0.117,,,,,,0.8,,,,,,,0.856,,,,0.678,0.8,,0.6,0.633,,0.878,,0.489,0.544,0.667,,,0.411,0.522,0.556,,0.7,,0.3
Rao2024,gemma-4-31b-it,2024.0,empirical,160,0.494,0.125,0.574,0.148,0.657,0.125,,,,,,0.4,,,,0.578,,,0.5,,,,0.312,0.656,0.644,,0.511,,0.678,0.689,0.767,0.667,0.778,,0.444,0.811,0.656,0.567,,0.667,0.556,,160,0.494,0.125,0.574,0.148,0.657,0.125,,,,,,0.4,,,,0.578,,,0.5,,,,0.312,0.656,0.644,,0.511,,0.678,0.689,0.767,0.667,0.778,,0.444,0.811,0.656,0.567,,0.667,0.556,
Sacramento2018,gemma-4-31b-it,2018.0,empirical,149,0.467,0.096,0.646,0.108,0.549,0.122,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.656,,0.822,,0.689,0.589,0.7,,0.425,0.489,,0.378,,0.611,0.467,,149,0.467,0.096,0.646,0.108,0.549,0.122,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.656,,0.822,,0.689,0.589,0.7,,0.425,0.489,,0.378,,0.611,0.467,
Spratling2008,gemma-4-31b-it,2008.0,empirical,11,0.75,0.071,0.675,0.15,0.54,0.089,,,,,,0.8,,,,0.7,,,0.8,,,,0.5,,,,0.6,,0.8,,0.4,0.5,0.6,,,0.6,,,,0.6,,,11,0.75,0.071,0.675,0.15,0.54,0.089,,,,,,0.8,,,,0.7,,,0.8,,,,0.5,,,,0.6,,0.8,,0.4,0.5,0.6,,,0.6,,,,0.6,,
Spratling2010,gemma-4-31b-it,2010.0,empirical,68,0.279,0.639,0.42,0.089,0.425,0.151,,,,,-0.6,0.8,0.638,,,,,,0.45,,,,0.375,,,,,,0.413,,0.4,,0.2,,,0.22,,0.6,,,0.42,,60,0.719,0.091,0.42,0.089,0.425,0.151,,,,,,0.8,0.638,,,,,,0.45,,,,0.375,,,,,,0.413,,0.4,,0.2,,,0.22,,0.6,,,0.42,
Srinivasan1982,gemma-4-31b-it,1982.0,empirical,40,0.745,0.093,0.639,0.104,0.555,0.121,,,,,,0.778,,,,0.6,,,0.644,,,,,,,,,,0.633,,,0.4,,,,,,0.589,,,,,40,0.745,0.093,0.639,0.104,0.555,0.121,,,,,,0.778,,,,0.6,,,0.644,,,,,,,,,,0.633,,,0.4,,,,,,0.589,,,,
VanDerveer2021,gemma-4-31b-it,2021.0,empirical,93,0.485,0.108,0.605,0.201,0.543,0.13,,,,,,0.4,,0.622,0.422,,,,0.811,,,0.4,,,0.6,,,,0.422,,0.4,,0.42,,0.44,0.622,0.689,0.589,,0.42,,,93,0.485,0.108,0.605,0.201,0.543,0.13,,,,,,0.4,,0.622,0.422,,,,0.811,,,0.4,,,0.6,,,,0.422,,0.4,,0.42,,0.44,0.622,0.689,0.589,,0.42,,
Wacongne2011,gemma-4-31b-it,2011.0,empirical,92,0.003,0.768,0.548,0.119,0.6,0.093,,,,-0.667,-0.8,0.578,,,,,,0.9,0.689,,,,,,,,0.489,,0.467,,,0.4,0.567,,,0.622,,,,0.656,,,76,0.75,0.154,0.581,0.104,0.642,0.112,,,,,,0.6,,,,,,0.9,0.7,,,,,,,,0.533,,0.511,,,0.5,0.611,,,0.689,,,,0.689,,
Wacongne2012,gemma-4-31b-it,2012.0,empirical,193,0.169,0.763,0.674,0.124,0.502,0.122,,,0.756,-0.878,-0.878,0.711,,,,,0.4,0.9,0.778,0.589,0.833,,0.5,0.689,0.689,,0.578,,0.778,0.478,0.578,0.422,0.45,,0.35,0.314,0.678,0.567,,0.422,0.4,0.544,175,0.675,0.175,0.673,0.123,0.502,0.122,,,0.756,,,0.711,,,,,0.4,0.833,0.767,0.589,0.833,,0.5,0.689,0.689,,0.578,,0.778,0.478,0.578,0.422,0.45,,0.35,0.314,0.678,0.567,,0.422,0.4,0.544
Westerberg&Xiong2025,gemma-4-31b-it,2025.0,this work,135,-0.285,0.772,0.803,0.09,0.817,0.077,,,,-0.644,0.711,-0.922,,,,,,,0.8,,,,0.6,0.8,,0.9,0.8,0.9,0.8,,,0.7,0.9,,,0.9,,0.8,,0.7,0.8,,160,-0.475,0.449,-0.861,0.081,-0.607,0.485,,,-0.8,,,-0.057,,,,,,,-0.878,,,,-0.9,-0.822,-0.744,-0.9,-0.8,-0.867,-0.978,,-0.722,-0.8,-0.9,-0.656,,-0.8,,0.644,,-0.722,-0.9,
Yamins2014,gemma-4-31b-it,2014.0,empirical,8,,,,,0.587,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.8,0.55,,12,,,,,0.6,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.8,0.6,
