study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Bastos2020,olmo-3-32b-think,2020.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastos2020,phi-4-reasoning-plus,2020.0,empirical,68,0.421,0.345,,,,,0.8,0.686,0.614,0.2,-0.3,0.543,0.471,0.314,-0.2,-0.15,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,70,0.42,0.336,,,,,0.8,0.686,0.614,0.3,-0.2,0.543,0.471,0.386,-0.2,-0.15,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Bekinschtein2009,gemma-4-31b-it,2009.0,empirical,56,,,0.458,0.11,0.494,0.211,,,,,,,,,,,,,0.6,,,,,,,,0.4,,0.375,,,,0.225,,0.575,0.4,,,,,,0.775,72,0.4,0.0,0.6,0.051,0.34,0.592,,,,,,,,,,0.4,,,0.6,,,,,,,,0.625,,0.575,,,,0.6,,0.675,0.8,,,,0.425,,-0.8
Bekinschtein2009,olmo-3-32b-think,2009.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bekinschtein2009,phi-4-reasoning-plus,2009.0,empirical,2,,,,,0.4,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.6,,,,,,,,2,,,,,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.6,,,,,,,
Chao2018,gemma-4-31b-it,2018.0,empirical,122,0.611,0.142,0.794,0.109,0.663,0.126,,,,0.6,,0.689,,0.544,,,,,0.856,,,0.878,,,,0.733,0.822,0.622,0.856,,,0.556,0.744,,0.5,0.778,,0.425,,0.7,,,113,0.689,0.132,0.806,0.096,0.683,0.13,,,,,,0.644,,0.733,,,,,0.856,,,0.867,,,,0.767,0.844,0.644,0.856,,,0.578,0.767,,0.5,0.8,,0.425,,0.722,,
Chao2018,olmo-3-32b-think,2018.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chao2018,phi-4-reasoning-plus,2018.0,empirical,29,0.4,0.214,0.6,0.0,0.543,0.151,,,,0.2,,0.6,0.2,0.6,,0.2,0.2,,0.6,,,0.6,0.6,,,0.6,0.6,0.6,0.6,,,0.6,0.6,,,,,,0.4,0.6,,,29,0.4,0.214,0.6,0.0,0.543,0.151,,,,0.2,,0.6,0.2,0.6,,0.2,0.2,,0.6,,,0.6,0.6,,,0.6,0.6,0.6,0.6,,,0.6,0.6,,,,,,0.4,0.6,,
Friston2010,gemma-4-31b-it,2010.0,empirical,125,0.57,0.118,0.555,0.131,0.547,0.101,,,0.4,,,0.6,,,,0.633,,,0.644,,,,0.48,0.456,,0.5,0.489,,0.722,,0.633,0.522,0.544,,,0.511,0.45,0.6,,0.6,0.4,,125,0.57,0.118,0.555,0.131,0.547,0.101,,,0.4,,,0.6,,,,0.633,,,0.644,,,,0.48,0.456,,0.5,0.489,,0.722,,0.633,0.522,0.544,,,0.511,0.45,0.6,,0.6,0.4,
Friston2010,olmo-3-32b-think,2010.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friston2010,phi-4-reasoning-plus,2010.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furutachi2024,gemma-4-31b-it,2024.0,empirical,115,0.577,0.45,0.742,0.116,0.436,0.122,,,,0.778,-0.4,0.722,0.9,,0.9,,0.4,0.6,0.778,,,,,0.678,,,0.578,,0.778,0.9,0.5,,0.35,,,0.3,,,0.467,,0.533,,97,0.761,0.153,0.742,0.116,0.436,0.122,,,,,,0.722,0.9,,0.9,,0.4,0.6,0.778,,,,,0.678,,,0.578,,0.778,0.9,0.5,,0.35,,,0.3,,,0.467,,0.533,
Garret2020,gemma-4-31b-it,2020.0,empirical,40,0.76,0.103,,,,,,,,0.6,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,32,0.8,0.072,,,,,,,,,,0.8,0.7,,0.8,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,
Garret2020,phi-4-reasoning-plus,2020.0,empirical,24,0.525,0.311,,,,,0.2,,,0.52,,0.64,,,0.36,,0.333,0.76,,,,,,,,,,,,,,,,,,,,,,,,,23,0.522,0.318,,,,,0.2,,,0.5,,0.64,,,0.36,,0.333,0.76,,,,,,,,,,,,,,,,,,,,,,,,
Greedy2022,gemma-4-31b-it,2022.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,0.75,0.165,0.542,0.115,,,,,,,,,,,,,0.8,,,,0.4,,,,,,0.833,,0.411,0.533,0.667,,,,,,,0.556,,
Greedy2022,phi-4-reasoning-plus,2022.0,empirical,6,,,-0.6,0.0,0.4,0.283,,,,,,,,,,,,,,,,,-0.6,,,,,,-0.6,,,,,,,,,,0.2,0.6,,,6,,,-0.6,0.0,0.4,0.283,,,,,,,,,,,,,,,,,-0.6,,,,,,-0.6,,,,,,,,,,0.2,0.6,,
Hertag2020,gemma-4-31b-it,2020.0,empirical,118,0.794,0.124,0.58,0.118,0.454,0.143,,,0.611,,,0.9,,,0.767,,0.9,,0.722,,,,0.411,0.633,,,0.511,,0.622,,0.656,0.4,,,,0.289,,0.4,,,0.478,,118,0.794,0.124,0.58,0.118,0.454,0.143,,,0.611,,,0.9,,,0.767,,0.9,,0.722,,,,0.411,0.633,,,0.511,,0.622,,0.656,0.4,,,,0.289,,0.4,,,0.478,
Hertag2020,phi-4-reasoning-plus,2020.0,empirical,30,0.583,0.248,0.7,0.11,0.2,0.0,0.2,0.8,0.4,,,0.75,,,0.6,0.2,0.8,0.2,0.8,,,,,0.6,0.6,0.6,0.8,,0.8,,,,,,,,,,0.2,,,,30,0.583,0.248,0.7,0.11,0.2,0.0,0.2,0.8,0.4,,,0.75,,,0.6,0.2,0.8,0.2,0.8,,,,,0.6,0.6,0.6,0.8,,0.8,,,,,,,,,,0.2,,,
Jiang&Rao2024,gemma-4-31b-it,2024.0,empirical,103,0.667,0.077,0.661,0.152,0.604,0.139,,,,,,0.6,,,,0.733,,,0.767,,,,0.417,,,,0.578,,0.8,,0.443,0.656,0.767,,,0.611,,0.411,,0.7,,,103,0.667,0.077,0.661,0.152,0.604,0.139,,,,,,0.6,,,,0.733,,,0.767,,,,0.417,,,,0.578,,0.8,,0.443,0.656,0.767,,,0.611,,0.411,,0.7,,
Jiang&Rao2024,olmo-3-32b-think,2024.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiang&Rao2024,phi-4-reasoning-plus,2024.0,empirical,27,0.5,0.2,0.6,0.0,0.571,0.107,,,,,,,,,,0.5,,,0.6,,,,0.6,,,,,0.6,0.6,,,0.6,0.6,,0.2,0.6,,,0.6,0.6,,,27,0.5,0.2,0.6,0.0,0.571,0.107,,,,,,,,,,0.5,,,0.6,,,,0.6,,,,,0.6,0.6,,,0.6,0.6,,0.2,0.6,,,0.6,0.6,,
Keller2012,gemma-4-31b-it,2012.0,empirical,54,,,0.49,0.117,0.38,0.121,,,,,,,,,,,,,0.622,,,,0.4,0.467,,,0.343,,0.544,,,,,,,0.2,0.4,,,,0.433,,54,,,0.49,0.117,0.38,0.121,,,,,,,,,,,,,0.622,,,,0.4,0.467,,,0.343,,0.544,,,,,,,0.2,0.4,,,,0.433,
Keller2012,phi-4-reasoning-plus,2012.0,empirical,1,,,0.6,0.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,1,,,0.6,0.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,
Keller2018,gemma-4-31b-it,2018.0,empirical,173,0.508,0.212,0.527,0.104,0.522,0.177,,,0.4,0.589,0.344,0.789,,,,0.4,0.233,0.8,0.622,,,,0.4,0.5,,,0.4,,0.6,,0.611,0.422,0.578,,,0.578,0.767,0.578,,0.4,0.367,0.125,155,0.524,0.234,0.527,0.104,0.522,0.177,,,0.4,,,0.789,,,,0.4,0.233,0.8,0.622,,,,0.4,0.5,,,0.4,,0.6,,0.611,0.422,0.578,,,0.578,0.767,0.578,,0.4,0.367,0.125
Keller2018,phi-4-reasoning-plus,2018.0,empirical,74,0.383,0.241,0.324,0.279,0.473,0.27,0.333,0.2,0.2,0.6,0.6,0.6,0.1,0.0,0.0,0.2,0.6,0.6,0.6,0.0,0.0,0.2,0.267,0.6,0.3,0.0,0.4,0.0,0.6,0.0,0.6,0.467,0.4,0.0,0.6,0.467,0.6,0.6,0.6,0.467,0.467,0.2,74,0.383,0.241,0.324,0.279,0.473,0.27,0.333,0.2,0.2,0.6,0.6,0.6,0.1,0.0,0.0,0.2,0.6,0.6,0.6,0.0,0.0,0.2,0.267,0.6,0.3,0.0,0.4,0.0,0.6,0.0,0.6,0.467,0.4,0.0,0.6,0.467,0.6,0.6,0.6,0.467,0.467,0.2
Kiebel2008,gemma-4-31b-it,2008.0,empirical,80,0.745,0.129,0.583,0.079,0.596,0.151,,,,,,0.6,,,,0.4,,0.8,0.589,,,,,,,,,,0.578,,0.4,0.611,0.589,,,0.8,0.433,0.367,,0.689,,,80,0.745,0.129,0.583,0.079,0.596,0.151,,,,,,0.6,,,,0.4,,0.8,0.589,,,,,,,,,,0.578,,0.4,0.611,0.589,,,0.8,0.433,0.367,,0.689,,
Kiebel2008,olmo-3-32b-think,2008.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiebel2008,phi-4-reasoning-plus,2008.0,empirical,24,0.3,0.2,0.6,0.0,0.565,0.106,,,,,,,0.2,,,0.2,,0.4,0.6,,,,,,,,,0.6,0.6,,0.6,0.6,0.6,,0.2,0.6,,,0.4,0.6,,,24,0.3,0.2,0.6,0.0,0.565,0.106,,,,,,,0.2,,,0.2,,0.4,0.6,,,,,,,,,0.6,0.6,,0.6,0.6,0.6,,0.2,0.6,,,0.4,0.6,,
LaoRodriguez2023,gemma-4-31b-it,2023.0,empirical,125,0.717,0.184,0.331,0.086,0.533,0.174,,,,0.6,0.722,0.544,,,,,,1.0,0.4,,,,,,,,,0.311,0.2,0.4,,0.337,0.622,,,0.444,,0.8,,0.411,0.3,0.667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeeMejias2025,gemma-4-31b-it,2025.0,empirical,175,0.625,0.19,0.724,0.112,0.538,0.096,,,,0.8,,0.744,,0.4,0.811,0.267,0.544,0.689,0.8,,,0.556,0.52,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.667,,0.4,0.4,,,,0.6,0.489,,166,0.594,0.19,0.724,0.112,0.538,0.096,,,,,,0.744,,0.4,0.811,0.267,0.544,0.689,0.8,,,0.556,0.52,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.667,,0.4,0.4,,,,0.6,0.489,
LeeMejias2025,phi-4-reasoning-plus,2025.0,empirical,164,0.532,0.211,0.611,0.175,0.604,0.145,0.6,0.667,0.467,0.667,0.4,0.7,0.467,0.267,0.6,0.2,0.667,,0.725,,0.2,0.2,0.571,0.675,0.675,0.433,0.625,,0.625,0.6,0.633,0.633,0.686,,0.4,0.52,,,0.6,0.6,0.6,,164,0.532,0.211,0.611,0.175,0.604,0.145,0.6,0.667,0.467,0.667,0.4,0.7,0.467,0.267,0.6,0.2,0.667,,0.725,,0.2,0.2,0.571,0.675,0.675,0.433,0.625,,0.625,0.6,0.633,0.633,0.686,,0.4,0.52,,,0.6,0.6,0.6,
Mikulasch2023,gemma-4-31b-it,2023.0,empirical,199,0.477,0.192,0.585,0.127,0.484,0.102,,,0.4,,0.2,0.556,,,0.378,0.378,0.8,0.6,0.556,,,0.6,0.4,0.733,0.544,,0.489,,0.689,,0.556,0.389,0.533,,0.478,0.467,0.6,0.4,,0.533,0.388,,190,0.525,0.165,0.585,0.127,0.484,0.102,,,0.4,,,0.556,,,0.378,0.378,0.8,0.6,0.556,,,0.6,0.4,0.733,0.544,,0.489,,0.689,,0.556,0.389,0.533,,0.478,0.467,0.6,0.4,,0.533,0.388,
Mikulasch2023,phi-4-reasoning-plus,2023.0,empirical,37,0.433,0.206,0.35,0.207,0.318,0.188,,0.6,0.6,,,0.6,0.6,,0.2,0.2,0.6,0.4,0.6,0.2,0.2,0.2,0.6,0.6,0.2,,,,0.2,,0.2,0.2,0.2,,0.2,0.2,0.6,0.6,0.2,0.4,0.4,0.6,37,0.433,0.206,0.35,0.207,0.318,0.188,,0.6,0.6,,,0.6,0.6,,0.2,0.2,0.6,0.4,0.6,0.2,0.2,0.2,0.6,0.6,0.2,,,,0.2,,0.2,0.2,0.2,,0.2,0.2,0.6,0.6,0.2,0.4,0.4,0.6
Nejad2025,gemma-4-31b-it,2025.0,empirical,102,,,0.505,0.484,0.451,0.112,,,,,,,,,,,,,0.8,,,,-0.725,0.7,0.675,0.6,0.625,0.483,0.8,0.662,0.587,,0.45,,,0.35,0.3,0.35,,0.512,,,102,,,0.505,0.484,0.451,0.112,,,,,,,,,,,,,0.8,,,,-0.725,0.7,0.675,0.6,0.625,0.483,0.8,0.662,0.587,,0.45,,,0.35,0.3,0.35,,0.512,,
Nejad2025,phi-4-reasoning-plus,2025.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payeur2021,gemma-4-31b-it,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,0.668,0.136,0.559,0.102,,,,,,,,,,,,,0.644,,0.55,,0.5,,,,0.6,,0.822,,0.656,0.556,0.529,,0.414,,,,,0.6,,
Payeur2021,olmo-3-32b-think,2021.0,empirical,24,0.32,0.496,0.925,0.089,0.5,0.179,-0.2,0.6,0.8,,-0.3,0.7,,,,,,,1.0,,,,1.0,0.8,,0.9,,,,,0.7,,,0.5,,,,,,,,0.3,24,0.32,0.496,0.925,0.089,0.5,0.179,-0.2,0.6,0.8,,-0.3,0.7,,,,,,,1.0,,,,1.0,0.8,,0.9,,,,,0.7,,,0.5,,,,,,,,0.3
Payeur2021,phi-4-reasoning-plus,2021.0,empirical,21,0.6,0.0,0.343,0.251,0.533,0.156,,,,,,,,,,0.6,0.6,,0.2,,0.6,,0.6,0.2,,,,,0.267,,,0.6,0.6,,0.2,,,,0.2,0.6,0.6,,21,0.6,0.0,0.343,0.251,0.533,0.156,,,,,,,,,,0.6,0.6,,0.2,,0.6,,0.6,0.2,,,,,0.267,,,0.6,0.6,,0.2,,,,0.2,0.6,0.6,
Rao&Ballard1999,gemma-4-31b-it,1999.0,empirical,120,0.8,0.0,0.762,0.113,0.552,0.117,,,,,,0.8,,,,,,,0.856,,,,0.678,0.8,,0.6,0.633,,0.878,,0.489,0.544,0.667,,,0.411,0.522,0.556,,0.7,,0.3,120,0.8,0.0,0.762,0.113,0.552,0.117,,,,,,0.8,,,,,,,0.856,,,,0.678,0.8,,0.6,0.633,,0.878,,0.489,0.544,0.667,,,0.411,0.522,0.556,,0.7,,0.3
Rao&Ballard1999,phi-4-reasoning-plus,1999.0,empirical,28,0.543,0.341,0.689,0.208,0.6,0.4,,,,,,0.8,0.2,,,0.2,0.2,,0.8,,,,0.4,0.7,0.6,,0.733,,0.7,,0.2,0.6,1.0,,,,,,,,,,28,0.543,0.341,0.689,0.208,0.6,0.4,,,,,,0.8,0.2,,,0.2,0.2,,0.8,,,,0.4,0.7,0.6,,0.733,,0.7,,0.2,0.6,1.0,,,,,,,,,
Rao2024,gemma-4-31b-it,2024.0,empirical,160,0.494,0.125,0.574,0.148,0.657,0.125,,,,,,0.4,,,,0.578,,,0.5,,,,0.312,0.656,0.644,,0.511,,0.678,0.689,0.767,0.667,0.778,,0.444,0.811,0.656,0.567,,0.667,0.556,,160,0.494,0.125,0.574,0.148,0.657,0.125,,,,,,0.4,,,,0.578,,,0.5,,,,0.312,0.656,0.644,,0.511,,0.678,0.689,0.767,0.667,0.778,,0.444,0.811,0.656,0.567,,0.667,0.556,
Rao2024,olmo-3-32b-think,2024.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento2018,gemma-4-31b-it,2018.0,empirical,149,0.467,0.096,0.646,0.108,0.549,0.122,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.656,,0.822,,0.689,0.589,0.7,,0.425,0.489,,0.378,,0.611,0.467,,149,0.467,0.096,0.646,0.108,0.549,0.122,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.656,,0.822,,0.689,0.589,0.7,,0.425,0.489,,0.378,,0.611,0.467,
Sacramento2018,olmo-3-32b-think,2018.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento2018,phi-4-reasoning-plus,2018.0,empirical,3,0.4,0.283,0.2,0.0,,,0.6,,,,,,,,,,0.2,,,,,,0.2,,,,,,,,,,,,,,,,,,,,3,0.4,0.283,0.2,0.0,,,0.6,,,,,,,,,,0.2,,,,,,0.2,,,,,,,,,,,,,,,,,,,
Spratling2008,gemma-4-31b-it,2008.0,empirical,11,0.75,0.071,0.675,0.15,0.54,0.089,,,,,,0.8,,,,0.7,,,0.8,,,,0.5,,,,0.6,,0.8,,0.4,0.5,0.6,,,0.6,,,,0.6,,,11,0.75,0.071,0.675,0.15,0.54,0.089,,,,,,0.8,,,,0.7,,,0.8,,,,0.5,,,,0.6,,0.8,,0.4,0.5,0.6,,,0.6,,,,0.6,,
Spratling2008,olmo-3-32b-think,2008.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spratling2008,phi-4-reasoning-plus,2008.0,empirical,23,0.0,0.49,0.511,0.176,,,,,,,,-0.12,0.2,,,0.28,-0.333,,0.5,,,,0.6,,,,,,0.5,,,,,,,,,,,,,,23,0.0,0.49,0.511,0.176,,,,,,,,-0.12,0.2,,,0.28,-0.333,,0.5,,,,0.6,,,,,,0.5,,,,,,,,,,,,,
Spratling2010,gemma-4-31b-it,2010.0,empirical,68,0.279,0.639,0.42,0.089,0.425,0.151,,,,,-0.6,0.8,0.638,,,,,,0.45,,,,0.375,,,,,,0.413,,0.4,,0.2,,,0.22,,0.6,,,0.42,,60,0.719,0.091,0.42,0.089,0.425,0.151,,,,,,0.8,0.638,,,,,,0.45,,,,0.375,,,,,,0.413,,0.4,,0.2,,,0.22,,0.6,,,0.42,
Spratling2010,olmo-3-32b-think,2010.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spratling2010,phi-4-reasoning-plus,2010.0,empirical,8,0.486,0.279,,,0.6,0.0,,0.6,,,,0.5,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.6,,8,0.486,0.279,,,0.6,0.0,,0.6,,,,0.5,0.5,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,0.6,
Srinivasan1982,gemma-4-31b-it,1982.0,empirical,40,0.745,0.093,0.639,0.104,0.555,0.121,,,,,,0.778,,,,0.6,,,0.644,,,,,,,,,,0.633,,,0.4,,,,,,0.589,,,,,40,0.745,0.093,0.639,0.104,0.555,0.121,,,,,,0.778,,,,0.6,,,0.644,,,,,,,,,,0.633,,,0.4,,,,,,0.589,,,,
Srinivasan1982,phi-4-reasoning-plus,1982.0,empirical,8,0.8,0.0,,,0.2,0.0,0.8,0.8,0.8,,,0.8,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,,,8,0.8,0.0,,,0.2,0.0,0.8,0.8,0.8,,,0.8,0.8,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,,
VanDerveer2021,gemma-4-31b-it,2021.0,empirical,93,0.485,0.108,0.605,0.201,0.543,0.13,,,,,,0.4,,0.622,0.422,,,,0.811,,,0.4,,,0.6,,,,0.422,,0.4,,0.42,,0.44,0.622,0.689,0.589,,0.42,,,93,0.485,0.108,0.605,0.201,0.543,0.13,,,,,,0.4,,0.622,0.422,,,,0.811,,,0.4,,,0.6,,,,0.422,,0.4,,0.42,,0.44,0.622,0.689,0.589,,0.42,,
VanDerveer2021,phi-4-reasoning-plus,2021.0,empirical,10,0.2,0.0,0.467,0.231,0.433,0.266,,,,,,,,0.2,,,,,0.6,,,0.6,,,,,,,0.2,,0.6,,,,0.6,0.2,0.6,0.6,,0.0,,,10,0.2,0.0,0.467,0.231,0.433,0.266,,,,,,,,0.2,,,,,0.6,,,0.6,,,,,,,0.2,,0.6,,,,0.6,0.2,0.6,0.6,,0.0,,
