condition_id,paper_id,scientific_model,temperature,repeat,factor_id,factor,context,score,is_explicit_null,source,original_parse_status,completion_tokens,extractor_version,evaluated_slots_count,completeness_ratio,completeness_status
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,11,E/I Balance Shift,LO,0.5,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,12,Omission Response,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,13,Feedforward Deviance Detection,LO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,14,Feedforward AMPA,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,15,Feedforward NMDA,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,16,Feedforward Ascending Gamma,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,17,Absence of Feedback Error,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,18,Feedforward Non-local Supragranular Activity (L2/3),LO,0.4,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,19,Feedforward Non-local Granular Activity (L4),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,20,Feedforward Non-local Directed Connectivity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,21,Feedforward Non-local Activation,LO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,22,Ascending Latency Shift,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,23,Feedforward Error Propagation,LO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,24,Subcortical Feedforward Relaying,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,25,Canonical Microcircuit Ubiquity,LO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,26,Hierarchical Mechanism Invariance,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,27,Hierarchical Activity Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,28,Hierarchical CSD Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,29,Cross-Scale Hierarchical Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,30,Hierarchical Presence (V1-PFC),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,31,Cross-Modal Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,32,Interspecies Hierarchical Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,33,Temporal Stability of Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,34,Hierarchical Order Stability,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,35,Population-Wide Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,36,State-Independent Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,1,Subtractive Inhibition (SST),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,2,Divisive Inhibition (PV),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,3,Inhibition (GABA),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,4,Habituation to Sequence,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,5,Synaptic Depression (Adaptation),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,6,Activity Suppression,GO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,7,Selective Sharpening,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,8,Alpha/Beta Mediated Suppression,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,9,VIP-Mediated Disinhibition,GO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,10,Precision Weighting (Gain),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,11,E/I Balance Shift,GO,0.5,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,12,Omission Response,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,13,Feedforward Deviance Detection,GO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,14,Feedforward AMPA,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,15,Feedforward NMDA,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,16,Feedforward Ascending Gamma,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,17,Absence of Feedback Error,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,18,Feedforward Non-local Supragranular Activity (L2/3),GO,0.4,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,19,Feedforward Non-local Granular Activity (L4),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,20,Feedforward Non-local Directed Connectivity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,21,Feedforward Non-local Activation,GO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,22,Ascending Latency Shift,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,23,Feedforward Error Propagation,GO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,24,Subcortical Feedforward Relaying,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,25,Canonical Microcircuit Ubiquity,GO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,26,Hierarchical Mechanism Invariance,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,27,Hierarchical Activity Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,28,Hierarchical CSD Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,29,Cross-Scale Hierarchical Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,30,Hierarchical Presence (V1-PFC),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,31,Cross-Modal Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,32,Interspecies Hierarchical Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,33,Temporal Stability of Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,34,Hierarchical Order Stability,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,35,Population-Wide Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,0.0,1,36,State-Independent Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,1,Subtractive Inhibition (SST),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,2,Divisive Inhibition (PV),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,3,Inhibition (GABA),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,4,Habituation to Sequence,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,5,Synaptic Depression (Adaptation),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,6,Activity Suppression,LO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,7,Selective Sharpening,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,8,Alpha/Beta Mediated Suppression,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,9,VIP-Mediated Disinhibition,LO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,10,Precision Weighting (Gain),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,11,E/I Balance Shift,LO,0.5,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,12,Omission Response,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,13,Feedforward Deviance Detection,LO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,14,Feedforward AMPA,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,15,Feedforward NMDA,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,16,Feedforward Ascending Gamma,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,17,Absence of Feedback Error,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,18,Feedforward Non-local Supragranular Activity (L2/3),LO,0.4,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,19,Feedforward Non-local Granular Activity (L4),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,20,Feedforward Non-local Directed Connectivity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,21,Feedforward Non-local Activation,LO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,22,Ascending Latency Shift,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,23,Feedforward Error Propagation,LO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,24,Subcortical Feedforward Relaying,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,25,Canonical Microcircuit Ubiquity,LO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,26,Hierarchical Mechanism Invariance,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,27,Hierarchical Activity Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,28,Hierarchical CSD Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,29,Cross-Scale Hierarchical Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,30,Hierarchical Presence (V1-PFC),LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,31,Cross-Modal Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,32,Interspecies Hierarchical Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,33,Temporal Stability of Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,34,Hierarchical Order Stability,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,35,Population-Wide Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,36,State-Independent Ubiquity,LO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,1,Subtractive Inhibition (SST),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,2,Divisive Inhibition (PV),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,3,Inhibition (GABA),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,4,Habituation to Sequence,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,5,Synaptic Depression (Adaptation),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,6,Activity Suppression,GO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,7,Selective Sharpening,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,8,Alpha/Beta Mediated Suppression,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,9,VIP-Mediated Disinhibition,GO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,10,Precision Weighting (Gain),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,11,E/I Balance Shift,GO,0.5,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,12,Omission Response,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,13,Feedforward Deviance Detection,GO,0.7,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,14,Feedforward AMPA,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,15,Feedforward NMDA,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,16,Feedforward Ascending Gamma,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,17,Absence of Feedback Error,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,18,Feedforward Non-local Supragranular Activity (L2/3),GO,0.4,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,19,Feedforward Non-local Granular Activity (L4),GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,20,Feedforward Non-local Directed Connectivity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,21,Feedforward Non-local Activation,GO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,22,Ascending Latency Shift,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,23,Feedforward Error Propagation,GO,0.6,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,24,Subcortical Feedforward Relaying,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,25,Canonical Microcircuit Ubiquity,GO,0.3,False,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,26,Hierarchical Mechanism Invariance,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,27,Hierarchical Activity Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,0.0,2,28,Hierarchical CSD Ubiquity,GO,,True,json_recovered,recovered,0,v1.0_json_ast,72,1.0,complete
