study_name,agent_,year_,type_,LO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,LO-F01,LO-F02,LO-F03,LO-F04,LO-F05,LO-F06,LO-F07,LO-F08,LO-F09,LO-F10,LO-F11,LO-F12,LO-F13,LO-F14,LO-F15,LO-F16,LO-F17,LO-F18,LO-F19,LO-F20,LO-F21,LO-F22,LO-F23,LO-F24,LO-F25,LO-F26,LO-F27,LO-F28,LO-F29,LO-F30,LO-F31,LO-F32,LO-F33,LO-F34,LO-F35,LO-F36,GO-count,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std,GO-F01,GO-F02,GO-F03,GO-F04,GO-F05,GO-F06,GO-F07,GO-F08,GO-F09,GO-F10,GO-F11,GO-F12,GO-F13,GO-F14,GO-F15,GO-F16,GO-F17,GO-F18,GO-F19,GO-F20,GO-F21,GO-F22,GO-F23,GO-F24,GO-F25,GO-F26,GO-F27,GO-F28,GO-F29,GO-F30,GO-F31,GO-F32,GO-F33,GO-F34,GO-F35,GO-F36
Hertag2020,gemma-4-31b-it,2020.0,empirical,39,0.8,0.128,0.56,0.106,0.475,0.154,,,0.6,,,0.9,,,0.8,,0.9,,0.7,,,,0.4,0.6,,,0.5,,0.6,,0.7,,,,,0.3,,0.4,,,0.5,,39,0.8,0.128,0.56,0.106,0.475,0.154,,,0.6,,,0.9,,,0.8,,0.9,,0.7,,,,0.4,0.6,,,0.5,,0.6,,0.7,,,,,0.3,,0.4,,,0.5,
Jiang&Rao2024,gemma-4-31b-it,2024.0,empirical,33,0.683,0.098,0.66,0.151,0.588,0.141,,,,,,0.6,,,,0.767,,,0.733,,,,0.4,,,,0.533,,0.8,,0.45,0.633,0.733,,,0.6,,0.367,,0.7,,,33,0.683,0.098,0.66,0.151,0.588,0.141,,,,,,0.6,,,,0.767,,,0.733,,,,0.4,,,,0.533,,0.8,,0.45,0.633,0.733,,,0.6,,0.367,,0.7,,
Keller2012,gemma-4-31b-it,2012.0,empirical,20,,,0.486,0.117,0.35,0.122,,,,,,,,,,,,,0.6,,,,0.4,0.467,,,0.333,,0.6,,,,,,,0.2,0.4,,,,0.433,,20,,,0.486,0.117,0.35,0.122,,,,,,,,,,,,,0.6,,,,0.4,0.467,,,0.333,,0.6,,,,,,,0.2,0.4,,,,0.433,
Keller2018,gemma-4-31b-it,2018.0,empirical,57,0.514,0.215,0.517,0.103,0.55,0.135,,,0.4,0.6,0.4,0.8,,,,0.4,0.2,0.8,0.6,,,,,0.467,,,0.4,,0.6,,0.6,0.4,0.6,,,0.6,0.8,0.6,,0.4,0.4,,51,0.52,0.248,0.517,0.103,0.55,0.135,,,0.4,,,0.8,,,,0.4,0.2,0.8,0.6,,,,,0.467,,,0.4,,0.6,,0.6,0.4,0.6,,,0.6,0.8,0.6,,0.4,0.4,
Kiebel2008,gemma-4-31b-it,2008.0,empirical,24,0.8,0.0,0.55,0.055,0.64,0.14,,,,,,,,,,,,0.8,0.6,,,,,,,,,,0.5,,,0.7,0.6,,,0.8,0.4,,,0.7,,,24,0.8,0.0,0.55,0.055,0.64,0.14,,,,,,,,,,,,0.8,0.6,,,,,,,,,,0.5,,,0.7,0.6,,,0.8,0.4,,,0.7,,
LaoRodriguez2023,gemma-4-31b-it,2023.0,empirical,44,0.7,0.195,0.325,0.087,0.51,0.189,,,,0.6,0.7,0.5,,,,,,1.0,0.4,,,,,,,,,0.3,0.2,0.4,,0.3,0.6,,,0.4,,0.8,,0.4,0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeeMejias2025,gemma-4-31b-it,2025.0,empirical,58,0.61,0.18,0.72,0.115,0.55,0.099,,,,0.8,,0.7,,0.4,0.8,0.3,0.5,0.667,0.8,,,0.5,0.6,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.7,,,0.4,,,,0.6,0.5,,55,0.576,0.175,0.72,0.115,0.55,0.099,,,,,,0.7,,0.4,0.8,0.3,0.5,0.667,0.8,,,0.5,0.6,0.8,0.8,,0.7,,0.8,,0.6,0.5,0.7,,,0.4,,,,0.6,0.5,
Mikulasch2023,gemma-4-31b-it,2023.0,empirical,68,0.486,0.185,0.62,0.128,0.511,0.101,,,0.4,,0.2,0.6,,,0.4,0.4,0.8,0.6,0.6,,,0.6,0.4,0.8,0.6,,0.533,,0.733,,0.6,0.4,0.6,,0.533,0.467,0.6,0.4,,0.6,0.4,,65,0.533,0.153,0.62,0.128,0.511,0.101,,,0.4,,,0.6,,,0.4,0.4,0.8,0.6,0.6,,,0.6,0.4,0.8,0.6,,0.533,,0.733,,0.6,0.4,0.6,,0.533,0.467,0.6,0.4,,0.6,0.4,
Nejad2025,gemma-4-31b-it,2025.0,empirical,37,,,0.509,0.476,0.457,0.128,,,,,,,,,,,,,0.8,,,,-0.667,0.7,0.7,,0.6,0.5,0.8,0.633,0.6,,0.467,,,0.35,,0.333,,0.5,,,37,,,0.509,0.476,0.457,0.128,,,,,,,,,,,,,0.8,,,,-0.667,0.7,0.7,,0.6,0.5,0.8,0.633,0.6,,0.467,,,0.35,,0.333,,0.5,,
Payeur2021,gemma-4-31b-it,2021.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,0.633,0.132,0.56,0.106,,,,,,,,,,,,,0.6,,0.5,,,,,,,,0.8,,0.7,0.6,0.5,,0.4,,,,,0.6,,
Rao&Ballard1999,gemma-4-31b-it,1999.0,empirical,39,0.8,0.0,0.78,0.121,0.571,0.106,,,,,,0.8,,,,,,,0.9,,,,0.7,0.8,,,0.6,,0.9,,0.5,0.6,0.7,,,0.4,0.6,0.5,,0.7,,,39,0.8,0.0,0.78,0.121,0.571,0.106,,,,,,0.8,,,,,,,0.9,,,,0.7,0.8,,,0.6,,0.9,,0.5,0.6,0.7,,,0.4,0.6,0.5,,0.7,,
Rao2024,gemma-4-31b-it,2024.0,empirical,54,0.5,0.11,0.6,0.155,0.693,0.107,,,,,,0.4,,,,0.6,,,0.5,,,,0.3,0.7,0.7,,0.6,,0.8,0.6,0.8,0.7,0.8,,0.5,0.833,0.7,0.6,,0.7,0.6,,54,0.5,0.11,0.6,0.155,0.693,0.107,,,,,,0.4,,,,0.6,,,0.5,,,,0.3,0.7,0.7,,0.6,,0.8,0.6,0.8,0.7,0.8,,0.5,0.833,0.7,0.6,,0.7,0.6,
Sacramento2018,gemma-4-31b-it,2018.0,empirical,51,0.467,0.1,0.65,0.099,0.55,0.114,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.7,,0.8,,0.7,0.6,0.7,,0.4,0.5,,0.4,,0.6,0.5,,51,0.467,0.1,0.65,0.099,0.55,0.114,,,0.4,,,0.6,,,,,0.4,,0.7,,,,0.5,0.6,,0.6,0.7,,0.8,,0.7,0.6,0.7,,0.4,0.5,,0.4,,0.6,0.5,
Spratling2008,gemma-4-31b-it,2008.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spratling2010,gemma-4-31b-it,2010.0,empirical,21,0.267,0.656,0.4,0.0,0.467,0.163,,,,,-0.6,0.8,0.6,,,,,,0.4,,,,,,,,,,0.4,,0.4,,,,,0.2,,0.6,,,0.4,,18,0.7,0.11,0.4,0.0,0.467,0.163,,,,,,0.8,0.6,,,,,,0.4,,,,,,,,,,0.4,,0.4,,,,,0.2,,0.6,,,0.4,
Srinivasan1982,gemma-4-31b-it,1982.0,empirical,12,0.8,0.0,0.65,0.055,0.5,0.0,,,,,,0.8,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,0.5,,,,,12,0.8,0.0,0.65,0.055,0.5,0.0,,,,,,0.8,,,,,,,0.7,,,,,,,,,,0.6,,,,,,,,,0.5,,,,
VanDerveer2021,gemma-4-31b-it,2021.0,empirical,32,0.467,0.1,0.6,0.219,0.518,0.124,,,,,,0.4,,0.6,0.4,,,,0.8,,,,,,,,,,0.4,,0.4,,0.4,,0.4,0.6,0.667,0.6,,0.4,,,32,0.467,0.1,0.6,0.219,0.518,0.124,,,,,,0.4,,0.6,0.4,,,,0.8,,,,,,,,,,0.4,,0.4,,0.4,,0.4,0.6,0.667,0.6,,0.4,,
Wacongne2011,gemma-4-31b-it,2011.0,empirical,30,-0.025,0.817,0.533,0.132,0.633,0.05,,,,-0.8,-0.8,0.6,,,,,,0.9,0.7,,,,,,,,0.5,,0.4,,,,0.6,,,0.7,,,,0.6,,,24,0.75,0.164,0.533,0.132,0.633,0.05,,,,,,0.6,,,,,,0.9,0.7,,,,,,,,0.5,,0.4,,,,0.6,,,0.7,,,,0.6,,
Wacongne2012,gemma-4-31b-it,2012.0,empirical,63,0.167,0.792,0.688,0.108,0.5,0.134,,,0.8,-0.9,-0.9,0.7,,,,,0.4,0.9,0.8,0.6,0.8,,,0.7,0.7,,0.6,,0.8,0.5,0.6,0.4,,,,0.3,0.7,0.6,,0.4,,0.5,57,0.675,0.171,0.688,0.108,0.5,0.134,,,0.8,,,0.7,,,,,0.4,0.8,0.8,0.6,0.8,,,0.7,0.7,,0.6,,0.8,0.5,0.6,0.4,,,,0.3,0.7,0.6,,0.4,,0.5
Westerberg&Xiong2025,gemma-4-31b-it,2025.0,this work,46,-0.333,0.776,0.8,0.095,0.812,0.081,,,,-0.8,0.7,-0.9,,,,,,,0.8,,,,0.6,0.8,,0.9,0.8,0.9,0.8,,,0.7,0.9,,,0.9,,0.8,,0.7,0.8,,54,-0.3,0.548,-0.846,0.088,-0.6,0.474,,,-0.8,,,0.2,,,,,,,-0.867,,,,-0.9,-0.8,-0.7,-0.9,-0.8,-0.833,-0.967,,-0.7,-0.8,-0.9,-0.6,,-0.8,,0.6,,-0.7,-0.9,
Yamins2014,gemma-4-31b-it,2014.0,empirical,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0.625,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.4,,0.8,0.7,
