condition,context,hypothesis,paper,human_score,council_score,paired_diff
GO-H1,GO,H1,Hertag2020,0.6799999999999999,0.43789999999999996,0.24209999999999998
GO-H1,GO,H1,Keller2012,0.55,0.2783,0.27170000000000005
GO-H1,GO,H1,Keller2018,0.675,0.4447,0.23030000000000006
GO-H1,GO,H1,Kiebel2008,0.41666666666666663,0.434,-0.017333333333333367
GO-H1,GO,H1,LeeMejias2025,0.6761904761904762,0.4869,0.18929047619047623
GO-H1,GO,H1,Mikulasch2023,0.5233333333333333,0.1963,0.3270333333333333
GO-H1,GO,H1,Nejad2025,0.6000000000000001,0.185,0.4150000000000001
GO-H1,GO,H1,Payeur2021,0.26499999999999996,0.1567,0.10829999999999995
GO-H1,GO,H1,Rao2024,0.6000000000000001,0.5625,0.03750000000000009
GO-H1,GO,H1,Sacramento2018,0.8166666666666667,0.1595,0.6571666666666667
GO-H1,GO,H1,Spratling2008,0.6200000000000001,0.2111,0.4089000000000001
GO-H1,GO,H1,Spratling2010,0.51,0.2145,0.2955
GO-H1,GO,H1,VanDerveer2021,0.04999999999999999,0.28900000000000003,-0.23900000000000005
GO-H1,GO,H1,Wacongne2011,0.9,0.2,0.7
GO-H2,GO,H2,Attinger2017,0.20833333333333337,0.5675,-0.35916666666666663
GO-H2,GO,H2,Bastos2012,0.8087412587412587,0.3886,0.4201412587412587
GO-H2,GO,H2,Bastos2020,0.88,0.45489999999999997,0.42510000000000003
GO-H2,GO,H2,Bekinschtein2009,0.675,0.2906,0.3844
GO-H2,GO,H2,Friston2010,0.72,0.44299999999999995,0.277
GO-H2,GO,H2,Furutachi2024,0.5611111111111111,-0.0711,0.6322111111111111
GO-H2,GO,H2,Garret2020,0.4714285714285714,-0.11379999999999998,0.5852285714285714
GO-H2,GO,H2,Greedy2022,0.26,0.2083,0.051699999999999996
GO-H2,GO,H2,Hertag2020,0.6500000000000001,0.42089999999999994,0.2291000000000002
GO-H2,GO,H2,Keller2012,0.5916666666666667,0.38899999999999996,0.20266666666666672
GO-H2,GO,H2,Keller2018,0.6138888888888889,0.4835,0.13038888888888894
GO-H2,GO,H2,Kiebel2008,0.6654545454545455,0.3741,0.29135454545454553
GO-H2,GO,H2,LaoRodriguez2023,0.34444444444444444,0.1512,0.19324444444444444
GO-H2,GO,H2,LeeMejias2025,0.71,0.37679999999999997,0.3332
GO-H2,GO,H2,Mikulasch2023,0.21666666666666665,-0.1376,0.3542666666666666
GO-H2,GO,H2,Nejad2025,0.37285714285714283,-0.0786,0.45145714285714283
GO-H2,GO,H2,Rao2024,0.6599999999999999,0.646,0.013999999999999901
GO-H2,GO,H2,Sacramento2018,0.30249999999999994,-0.0442,0.34669999999999995
GO-H2,GO,H2,Spratling2008,0.8,0.2992,0.5008
GO-H2,GO,H2,Spratling2010,0.5,0.23279999999999998,0.2672
GO-H2,GO,H2,Wacongne2011,0.8,0.3167,0.48330000000000006
GO-H2,GO,H2,Yamins2014,0.5,0.11000000000000001,0.39
GO-H3,GO,H3,Bakhtiari2021,0.46666666666666673,0.0683,0.39836666666666676
GO-H3,GO,H3,Bastos2012,0.725,0.32730000000000004,0.39769999999999994
GO-H3,GO,H3,Bastos2020,0.8238095238095238,0.3151,0.5087095238095238
GO-H3,GO,H3,Bekinschtein2009,0.021428571428571436,0.20329999999999998,-0.18187142857142855
GO-H3,GO,H3,Friston2010,0.75,0.3679,0.3821
GO-H3,GO,H3,Greedy2022,0.5800000000000001,0.09369999999999999,0.48630000000000007
GO-H3,GO,H3,Keller2018,0.5416666666666667,0.3525,0.18916666666666676
GO-H3,GO,H3,Kiebel2008,0.4416666666666667,0.4925,-0.050833333333333286
GO-H3,GO,H3,Rao2024,0.6761904761904762,0.73275,-0.05655952380952378
GO-H3,GO,H3,Spratling2008,0.6,0.168,0.43199999999999994
GO-H3,GO,H3,Wacongne2011,0.5,0.31579999999999997,0.18420000000000003
