study_name,context,factor_column,human_score,council_score,signed_difference,absolute_difference,is_diagnostic_divergence
Wacongne2011,LO,LO-F13,0.2,0.66,-0.46,0.46,False
Bastos2012,LO,LO-F11,0.2,0.66,-0.46,0.46,False
Friston2010,GO,GO-F17,1.0,0.543,0.457,0.457,False
Friston2010,LO,LO-F17,1.0,0.543,0.457,0.457,False
Keller2018,LO,LO-F27,0.2,0.65,-0.45,0.45,False
Hertag2020,GO,GO-F23,0.2,0.65,-0.45,0.45,False
Spratling2008,LO,LO-F27,0.2,0.65,-0.45,0.45,False
Bastos2020,GO,GO-F22,0.2,0.65,-0.45,0.45,False
Kiebel2008,LO,LO-F07,0.2,0.65,-0.45,0.45,False
Greedy2022,LO,LO-F06,0.2,0.65,-0.45,0.45,False
VanDerveer2021,LO,LO-F18,0.2,0.65,-0.45,0.45,False
Srinivasan1982,LO,LO-F11,0.2,0.65,-0.45,0.45,False
Mikulasch2023,GO,GO-F27,0.2,0.65,-0.45,0.45,False
Mikulasch2023,GO,GO-F29,0.2,0.65,-0.45,0.45,False
Sacramento2018,GO,GO-F23,-0.6,-0.15,-0.45,0.45,False
Furutachi2024,GO,GO-F34,0.0,0.45,-0.45,0.45,False
VanDerveer2021,GO,GO-F31,0.2,0.65,-0.45,0.45,False
Mikulasch2023,LO,LO-F21,0.2,0.65,-0.45,0.45,False
Rao2024,LO,LO-F32,0.2,0.65,-0.45,0.45,False
Spratling2008,GO,GO-F27,0.2,0.65,-0.45,0.45,False
Bekinschtein2009,LO,LO-F23,0.2,0.64,-0.44,0.44,False
VanDerveer2021,LO,LO-F13,0.2,0.64,-0.44,0.44,False
LeeMejias2025,LO,LO-F27,0.2,0.64,-0.44,0.44,False
Spratling2008,GO,GO-F17,1.0,0.56,0.44,0.44,False
Attinger2017,LO,LO-F33,0.2,0.64,-0.44,0.44,False
Bastos2012,LO,LO-F16,1.0,0.567,0.433,0.433,False
Hertag2020,LO,LO-F15,0.2,0.633,-0.433,0.433,False
Furutachi2024,GO,GO-F17,-0.6,-0.167,-0.433,0.433,False
Spratling2008,GO,GO-F13,1.0,0.567,0.433,0.433,False
Bekinschtein2009,GO,GO-F23,0.2,0.633,-0.433,0.433,False
Bekinschtein2009,GO,GO-F34,0.2,0.633,-0.433,0.433,False
Friston2010,LO,LO-F07,0.2,0.633,-0.433,0.433,False
Garret2020,LO,LO-F10,0.2,0.633,-0.433,0.433,False
Friston2010,LO,LO-F29,0.2,0.633,-0.433,0.433,False
Friston2010,LO,LO-F10,1.0,0.571,0.429,0.429,False
Kiebel2008,GO,GO-F21,0.2,0.625,-0.425,0.425,False
Kiebel2008,LO,LO-F12,1.0,0.575,0.425,0.425,False
Friston2010,LO,LO-F26,1.0,0.575,0.425,0.425,False
Keller2012,LO,LO-F23,0.2,0.625,-0.425,0.425,False
Mikulasch2023,GO,GO-F21,0.2,-0.225,0.425,0.425,False
Bastos2012,GO,GO-F26,1.0,0.575,0.425,0.425,False
Spratling2010,GO,GO-F10,0.2,0.625,-0.425,0.425,False
Garret2020,LO,LO-F04,0.2,0.625,-0.425,0.425,False
Spratling2008,LO,LO-F17,1.0,0.58,0.42,0.42,False
Garret2020,LO,LO-F18,0.2,0.62,-0.42,0.42,False
Spratling2010,LO,LO-F17,0.2,0.62,-0.42,0.42,False
Bastos2020,GO,GO-F27,1.0,0.58,0.42,0.42,False
Bastos2012,LO,LO-F14,0.2,0.62,-0.42,0.42,False
Garret2020,GO,GO-F18,0.2,-0.22,0.42,0.42,False
Spratling2008,GO,GO-F23,1.0,0.58,0.42,0.42,False
Keller2018,LO,LO-F04,0.2,0.617,-0.417,0.417,False
Payeur2021,GO,GO-F02,0.0,0.4,-0.4,0.4,False
Spratling2010,GO,GO-F29,0.2,0.6,-0.4,0.4,False
Sacramento2018,LO,LO-F25,0.6,0.2,0.4,0.4,False
Payeur2021,LO,LO-F35,0.2,0.6,-0.4,0.4,False
Bastos2020,LO,LO-F34,1.0,0.6,0.4,0.4,False
Wacongne2011,LO,LO-F26,0.2,0.6,-0.4,0.4,False
Bastos2020,LO,LO-F22,0.2,0.6,-0.4,0.4,False
Payeur2021,LO,LO-F29,0.2,0.6,-0.4,0.4,False
Payeur2021,LO,LO-F25,0.2,0.6,-0.4,0.4,False
Bastos2012,LO,LO-F26,1.0,0.6,0.4,0.4,False
Bastos2012,LO,LO-F10,1.0,0.6,0.4,0.4,False
Spratling2010,LO,LO-F29,0.2,0.6,-0.4,0.4,False
Bastos2020,LO,LO-F05,-0.2,0.2,-0.4,0.4,False
Spratling2010,LO,LO-F34,0.2,0.6,-0.4,0.4,False
VanDerveer2021,GO,GO-F19,0.2,0.6,-0.4,0.4,False
Greedy2022,GO,GO-F11,0.6,0.2,0.4,0.4,False
Keller2012,LO,LO-F32,0.2,0.6,-0.4,0.4,False
Nejad2025,LO,LO-F30,0.0,0.4,-0.4,0.4,False
Kiebel2008,LO,LO-F26,1.0,0.6,0.4,0.4,False
Kiebel2008,GO,GO-F15,-0.2,0.2,-0.4,0.4,False
VanDerveer2021,GO,GO-F21,0.2,0.6,-0.4,0.4,False
Kiebel2008,GO,GO-F07,0.2,0.6,-0.4,0.4,False
VanDerveer2021,GO,GO-F23,0.2,0.6,-0.4,0.4,False
Kiebel2008,LO,LO-F31,0.2,0.6,-0.4,0.4,False
Keller2012,LO,LO-F35,0.2,0.6,-0.4,0.4,False
Kiebel2008,GO,GO-F31,0.2,0.6,-0.4,0.4,False
Furutachi2024,LO,LO-F26,0.2,0.6,-0.4,0.4,False
Garret2020,LO,LO-F34,0.2,0.6,-0.4,0.4,False
Srinivasan1982,LO,LO-F24,0.2,0.6,-0.4,0.4,False
Greedy2022,GO,GO-F06,0.2,0.6,-0.4,0.4,False
Payeur2021,GO,GO-F25,0.2,0.6,-0.4,0.4,False
Nejad2025,GO,GO-F32,0.2,0.6,-0.4,0.4,False
Srinivasan1982,GO,GO-F26,0.0,0.4,-0.4,0.4,False
LaoRodriguez2023,GO,GO-F23,0.0,0.4,-0.4,0.4,False
Payeur2021,GO,GO-F29,0.2,0.6,-0.4,0.4,False
LaoRodriguez2023,GO,GO-F25,0.0,0.4,-0.4,0.4,False
Payeur2021,GO,GO-F35,0.2,0.6,-0.4,0.4,False
Furutachi2024,GO,GO-F26,0.2,-0.2,0.4,0.4,False
LaoRodriguez2023,GO,GO-F13,0.0,0.4,-0.4,0.4,False
LaoRodriguez2023,GO,GO-F27,0.2,0.6,-0.4,0.4,False
Keller2018,LO,LO-F35,0.2,0.6,-0.4,0.4,False
Srinivasan1982,LO,LO-F26,0.0,0.4,-0.4,0.4,False
Wacongne2011,GO,GO-F26,0.2,0.6,-0.4,0.4,False
Spratling2008,GO,GO-F06,0.6,0.2,0.4,0.4,False
LaoRodriguez2023,GO,GO-F29,0.2,0.6,-0.4,0.4,False
Furutachi2024,LO,LO-F01,0.6,0.2,0.4,0.4,False
Srinivasan1982,GO,GO-F10,0.2,0.6,-0.4,0.4,False
Spratling2010,LO,LO-F10,0.2,0.6,-0.4,0.4,False
Greedy2022,LO,LO-F11,0.6,0.2,0.4,0.4,False
Garret2020,GO,GO-F06,1.0,0.6,0.4,0.4,False
Spratling2010,GO,GO-F34,0.2,0.6,-0.4,0.4,False
VanDerveer2021,LO,LO-F23,0.2,0.6,-0.4,0.4,False
Bastos2020,GO,GO-F34,1.0,0.6,0.4,0.4,False
Keller2012,LO,LO-F31,0.2,0.6,-0.4,0.4,False
VanDerveer2021,LO,LO-F01,1.0,0.6,0.4,0.4,False
Greedy2022,LO,LO-F29,0.2,0.6,-0.4,0.4,False
Greedy2022,LO,LO-F03,0.2,0.6,-0.4,0.4,False
LaoRodriguez2023,LO,LO-F29,0.2,0.6,-0.4,0.4,False
Wacongne2011,GO,GO-F06,1.0,0.6,0.4,0.4,False
Garret2020,GO,GO-F34,0.2,0.6,-0.4,0.4,False
Garret2020,GO,GO-F23,0.2,-0.2,0.4,0.4,False
Nejad2025,GO,GO-F22,0.2,-0.2,0.4,0.4,False
Greedy2022,LO,LO-F30,0.2,0.6,-0.4,0.4,False
Keller2018,GO,GO-F35,0.2,0.6,-0.4,0.4,False
Greedy2022,GO,GO-F03,0.2,0.6,-0.4,0.4,False
Greedy2022,LO,LO-F25,0.2,0.6,-0.4,0.4,False
LeeMejias2025,GO,GO-F08,0.2,0.586,-0.386,0.386,False
Bastos2020,GO,GO-F23,1.0,0.617,0.383,0.383,False
Bastos2020,GO,GO-F17,0.2,0.583,-0.383,0.383,False
Bastos2012,GO,GO-F10,1.0,0.617,0.383,0.383,False
Spratling2008,LO,LO-F06,0.6,0.22,0.38,0.38,False
Friston2010,GO,GO-F11,0.2,0.58,-0.38,0.38,False
Bastos2012,GO,GO-F14,0.2,0.58,-0.38,0.38,False
VanDerveer2021,LO,LO-F05,0.6,0.22,0.38,0.38,False
Bastos2012,LO,LO-F02,0.2,0.575,-0.375,0.375,False
LaoRodriguez2023,LO,LO-F18,0.0,0.375,-0.375,0.375,False
Bekinschtein2009,LO,LO-F10,0.0,0.375,-0.375,0.375,False
Hertag2020,LO,LO-F10,0.2,0.575,-0.375,0.375,False
Furutachi2024,GO,GO-F13,0.2,-0.175,0.375,0.375,False
Furutachi2024,GO,GO-F18,0.2,-0.175,0.375,0.375,False
Rao2024,LO,LO-F21,0.2,0.575,-0.375,0.375,False
Furutachi2024,LO,LO-F07,0.2,0.575,-0.375,0.375,False
Bastos2020,LO,LO-F27,1.0,0.625,0.375,0.375,False
Hertag2020,LO,LO-F13,0.2,0.575,-0.375,0.375,False
Mikulasch2023,GO,GO-F17,-0.6,-0.225,-0.375,0.375,False
Keller2018,GO,GO-F21,0.2,0.571,-0.371,0.371,False
Bekinschtein2009,GO,GO-F17,-0.2,0.167,-0.367,0.367,False
Keller2018,LO,LO-F34,0.2,0.567,-0.367,0.367,False
LeeMejias2025,LO,LO-F23,1.0,0.633,0.367,0.367,False
Mikulasch2023,LO,LO-F27,0.2,0.567,-0.367,0.367,False
Bastos2012,LO,LO-F19,1.0,0.633,0.367,0.367,False
LaoRodriguez2023,LO,LO-F27,0.2,0.567,-0.367,0.367,False
VanDerveer2021,GO,GO-F08,0.2,0.567,-0.367,0.367,False
Payeur2021,LO,LO-F05,0.2,0.567,-0.367,0.367,False
Attinger2017,LO,LO-F07,0.2,0.567,-0.367,0.367,False
Attinger2017,GO,GO-F07,0.2,0.567,-0.367,0.367,False
Nejad2025,LO,LO-F34,0.2,0.567,-0.367,0.367,False
Garret2020,LO,LO-F27,0.2,0.567,-0.367,0.367,False
Nejad2025,GO,GO-F34,0.2,0.567,-0.367,0.367,False
Wacongne2011,LO,LO-F06,1.0,0.64,0.36,0.36,False
Spratling2008,LO,LO-F23,1.0,0.64,0.36,0.36,False
Bastos2020,LO,LO-F07,0.0,0.36,-0.36,0.36,False
Friston2010,LO,LO-F21,0.2,0.56,-0.36,0.36,False
Bastos2020,GO,GO-F21,1.0,0.643,0.357,0.357,False
Friston2010,LO,LO-F06,1.0,0.643,0.357,0.357,False
Rao2024,GO,GO-F32,0.2,0.55,-0.35,0.35,False
Keller2018,GO,GO-F27,0.2,0.55,-0.35,0.35,False
LaoRodriguez2023,GO,GO-F34,0.2,0.55,-0.35,0.35,False
Nejad2025,LO,LO-F32,0.2,0.55,-0.35,0.35,False
LaoRodriguez2023,GO,GO-F19,0.0,0.35,-0.35,0.35,False
Kiebel2008,LO,LO-F15,-0.2,0.15,-0.35,0.35,False
LaoRodriguez2023,LO,LO-F34,0.2,0.55,-0.35,0.35,False
Nejad2025,GO,GO-F13,0.2,-0.15,0.35,0.35,False
Keller2018,GO,GO-F25,1.0,0.65,0.35,0.35,False
Greedy2022,GO,GO-F30,0.2,0.55,-0.35,0.35,False
Garret2020,LO,LO-F03,0.2,0.55,-0.35,0.35,False
Friston2010,LO,LO-F23,1.0,0.65,0.35,0.35,False
Srinivasan1982,LO,LO-F10,0.2,0.55,-0.35,0.35,False
Bastos2012,GO,GO-F17,1.0,0.65,0.35,0.35,False
VanDerveer2021,GO,GO-F20,0.2,0.55,-0.35,0.35,False
