study_name,agent_,year_,type_,LO-F01,GO-F01,LO-F02,GO-F02,LO-F03,GO-F03,LO-F04,GO-F04,LO-F05,GO-F05,LO-F06,GO-F06,LO-F07,GO-F07,LO-F08,GO-F08,LO-F09,GO-F09,LO-F10,GO-F10,LO-F11,GO-F11,LO-F12,GO-F12,LO-F13,GO-F13,LO-F14,GO-F14,LO-F15,GO-F15,LO-F16,GO-F16,LO-F17,GO-F17,LO-F18,GO-F18,LO-F19,GO-F19,LO-F20,GO-F20,LO-F21,GO-F21,LO-F22,GO-F22,LO-F23,GO-F23,LO-F24,GO-F24,LO-F25,GO-F25,LO-F26,GO-F26,LO-F27,GO-F27,LO-F28,GO-F28,LO-F29,GO-F29,LO-F30,GO-F30,LO-F31,GO-F31,LO-F32,GO-F32,LO-F33,GO-F33,LO-F34,GO-F34,LO-F35,GO-F35,LO-F36,GO-F36,LO-count,GO-count,LO-H1-avg,LO-H1-std,LO-H2-avg,LO-H2-std,LO-H3-avg,LO-H3-std,GO-H1-avg,GO-H1-std,GO-H2-avg,GO-H2-std,GO-H3-avg,GO-H3-std
Sacramento2018,gemma-4-e4b-it-mxfp8,2018.0,empirical,0.2,0.6,,0.2,0.2,0.6,,,,,0.6,0.6,,,,,0.2,0.2,,,0.6,0.6,,,0.6,0.6,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.6,0.6,,,,0.6,,0.2,0.6,0.6,,,0.2,0.6,,,,,,,0.2,0.2,,,,,,,14.0,17.0,0.36,0.196,0.333,0.189,0.333,0.189,0.467,0.189,0.333,0.189,0.44,0.196
Spratling2008,gemma-4-e4b-it-mxfp8,2008.0,empirical,0.0,0.2,0.2,0.6,0.0,0.2,,,,,0.6,0.6,0.2,0.2,,,,,0.2,0.6,,,0.0,0.2,0.6,0.6,0.2,0.2,0.6,0.6,,,0.2,0.2,,0.6,0.2,0.2,0.6,0.6,0.2,0.2,,,0.6,0.6,,,,0.6,0.2,0.2,0.6,0.6,,,0.2,0.2,0.6,0.6,,,,,0.2,0.2,0.6,0.6,,,0.2,0.2,22.0,24.0,0.171,0.198,0.4,0.2,0.371,0.198,0.371,0.198,0.422,0.199,0.4,0.2
Jiang&Rao2024,gemma-4-e4b-it-mxfp8,2024.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.6,0.6,,,0.0,0.0,,,0.2,0.2,0.6,0.6,,,0.6,0.6,,,0.2,0.2,,,0.6,0.6,,,0.2,0.2,0.6,0.6,0.6,0.6,0.2,0.2,0.6,0.6,,,0.2,0.2,,,0.6,0.6,,,0.0,0.0,0.6,0.6,,,,,0.6,0.6,0.2,0.2,,,0.2,0.2,23.0,23.0,0.175,0.254,0.45,0.194,0.343,0.232,0.175,0.254,0.45,0.194,0.343,0.232
Hertag2020,gemma-4-e4b-it-mxfp8,2020.0,empirical,0.2,,1.0,,0.6,,,,,,0.8,,,,,,0.2,,,,1.0,,,,,,,,,,,,,0.6,,,,,,,,,,,,0.2,,,,,,,,0.8,,,,,,0.2,,,,,,,,0.2,,,,,6.0,5.0,0.633,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.283
Greedy2022,gemma-4-e4b-it-mxfp8,2022.0,empirical,0.0,,0.0,,0.0,0.2,,,0.6,0.6,0.6,0.6,,,,,0.2,0.2,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,0.229,0.249,0.0,0.0,0.0,0.0,0.36,0.196,0.0,0.0,0.0,0.0
LeeMejias2025,gemma-4-e4b-it-mxfp8,2025.0,empirical,0.6,,1.0,,0.2,,,,,,0.6,,,,0.6,,1.0,,,,0.6,,,,,0.6,,,,,,0.6,,,,0.6,,0.6,,,,0.6,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,0.657,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Kiebel2008,gemma-4-e4b-it-mxfp8,2008.0,computational,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,,,0.2,0.2,0.0,0.0,0.6,0.6,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,,,0.2,0.2,0.6,0.6,,,0.2,0.2,0.6,0.6,,,,,0.2,0.2,0.6,0.6,,,,,27.0,27.0,0.1,0.184,0.055,0.089,0.4,0.2,0.1,0.184,0.055,0.089,0.4,0.2
Yamins2014,gemma-4-e4b-it-mxfp8,2014.0,empirical,,,,,,,0.0,,,,0.2,0.6,,,,,,,0.6,0.6,,,,,0.6,0.6,,,0.2,0.2,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,10.0,0.267,0.249,0.55,0.132,0.0,0.0,0.6,0.0,0.55,0.132,0.0,0.0
Wacongne2012,gemma-4-e4b-it-mxfp8,2012.0,empirical,0.2,0.2,0.6,,0.8,0.8,-0.6,-0.6,0.2,0.2,0.6,0.6,,,,,,0.2,0.2,0.6,0.6,0.8,0.8,1.0,0.6,0.6,0.8,0.8,1.0,1.0,,,0.6,0.6,0.6,0.6,0.8,0.8,,,0.6,0.6,,,0.2,0.2,,,,0.2,,,0.8,0.8,,,0.2,0.2,,,0.8,0.8,,,0.2,0.2,,,,,,0.2,21.0,23.0,0.378,0.416,0.65,0.218,0.5,0.3,0.422,0.457,0.65,0.218,0.4,0.283
Bastos2020,gemma-4-e4b-it-mxfp8,2020.0,empirical,0.2,,0.0,,0.2,,0.6,,0.8,,0.6,,0.2,,0.6,,,,0.2,,0.6,,0.2,,,0.8,,,,0.2,,0.8,,,,0.6,,0.2,,0.8,,0.6,,0.2,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,0.382,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.263,0.0,0.0
Bakhtiari2021,gemma-4-e4b-it-mxfp8,2021.0,empirical,,,,,,,,,,,0.2,0.6,,,,,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
Friston2010,gemma-4-e4b-it-mxfp8,2010.0,computational,,,,,,,0.2,,,,0.6,0.2,,,,0.2,0.2,,,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.4,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
VanDerveer2021,gemma-4-e4b-it-mxfp8,2021.0,empirical,0.2,0.2,0.6,0.6,1.0,1.0,,,-0.2,-0.2,0.6,0.6,,,0.2,0.2,0.6,0.6,,,0.6,0.6,,,0.2,0.2,,,,,0.6,0.6,,,0.6,0.6,0.6,0.6,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.6,0.6,,,,,0.6,0.6,,,,,0.2,0.2,,,0.2,0.2,,,19.0,19.0,0.45,0.343,0.4,0.2,0.36,0.196,0.45,0.343,0.4,0.2,0.36,0.196
Rao&Ballard1999,gemma-4-e4b-it-mxfp8,1999.0,empirical,0.0,0.2,0.0,0.2,0.0,0.2,,,0.0,0.0,0.6,0.6,0.2,0.2,,,0.2,0.2,0.6,0.6,0.2,0.2,,,0.6,0.6,0.2,0.2,0.2,0.2,,,0.6,0.6,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.6,,,0.6,0.6,,,0.2,0.2,,,0.6,0.6,,,0.2,0.2,0.6,0.6,,,,,0.2,0.2,0.6,0.6,,,,,24.0,24.0,0.2,0.231,0.467,0.189,0.4,0.2,0.267,0.189,0.467,0.189,0.4,0.2
Mikulasch2023,gemma-4-e4b-it-mxfp8,2023.0,empirical,0.2,0.2,0.6,0.6,0.2,0.2,,,0.2,0.2,0.6,0.6,,,,,0.2,0.2,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.371,0.198,0.0,0.0,0.0,0.0,0.371,0.198,0.0,0.0,0.0,0.0
Attinger2017,gemma-4-e4b-it-mxfp8,2017.0,empirical,0.6,0.6,0.2,0.2,0.6,0.6,,,,,0.6,0.6,,,,,0.6,0.6,,,0.6,0.6,,,0.6,0.6,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.6,0.6,,,0.6,0.6,,,,,,,0.6,0.6,,,0.2,0.2,,,,,,,0.2,0.2,,,,,,,15.0,15.0,0.533,0.149,0.4,0.2,0.333,0.189,0.533,0.149,0.4,0.2,0.333,0.189
Chao2018,gemma-4-e4b-it-mxfp8,2018.0,empirical,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,,,0.6,0.8,0.2,0.2,0.6,1.0,0.2,0.2,0.6,0.8,0.2,0.2,,0.6,0.8,1.0,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.2,0.2,0.6,1.0,0.8,0.8,,1.0,0.2,0.8,1.0,1.0,,,0.2,0.2,0.8,1.0,,,,,0.2,0.2,0.6,0.8,,,,0.2,28.0,31.0,0.3,0.257,0.767,0.197,0.5,0.321,0.436,0.389,0.85,0.218,0.65,0.357
Garret2020,gemma-4-e4b-it-mxfp8,2020.0,empirical,0.6,0.6,0.2,0.2,0.6,0.6,0.2,0.2,,,0.8,0.8,0.6,0.6,,,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6,,,,,,,,,0.2,0.2,,,,,,,0.6,0.6,,,0.6,0.6,,,,,,,0.6,0.6,,,0.2,0.2,,,,,,,0.2,0.2,,,,,,,16.0,16.0,0.58,0.209,0.467,0.189,0.333,0.189,0.58,0.209,0.467,0.189,0.333,0.189
Payeur2021,gemma-4-e4b-it-mxfp8,2021.0,empirical,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furutachi2024,gemma-4-e4b-it-mxfp8,2024.0,empirical,0.0,,0.0,,0.0,,,,0.0,,0.6,,1.0,,,,0.8,,1.0,,0.6,,1.0,,1.0,,,,1.0,,,,0.0,,,,,,0.8,,1.0,,,,1.0,,1.0,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.6,,1.0,,0.0,,,17.0,7.0,0.5,0.431,0.829,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.446
LaoRodriguez2023,gemma-4-e4b-it-mxfp8,2023.0,empirical,,,,,,,0.2,,0.6,0.2,0.8,,,,,,,,0.2,0.2,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.6,0.2,,,0.2,0.2,,,,,0.8,0.8,,,,,,,,,0.6,0.6,,,,,,,0.6,0.6,10.0,8.0,0.56,0.32,0.4,0.2,0.667,0.094,0.467,0.377,0.2,0.0,0.667,0.094
